Embalse;Agua embalsada (01-04-2019) (HM3);Porcentaje Agua embalsada (01-04-2019) ;Variacion semana Anterior (HM3);Porcentaje Variacion semana Anterior ;Capacidad (HM3);Agua embalsada Misma Semana (2018) (HM3);Porcentaje Agua embalsada Misma Semana (2018) ;Agua embalsada Misma Semana (Med. 10 Años) (HM3);Porcentaje Agua embalsada Misma Semana (Med. 10 Años) ;Cuenca;Provincia;Municipio Presa;Rio;Tipo de Presa;Año de construccion (Final);Superficie;Abastecimiento;Riego;Electricidad;Industrial;Pesca;Navegación;Baño;Pic-nic;Restaurantes;
LA BOLERA;26;49.06;0;0.00;53;49;92.45;41;78.68;Guadalquivir;Jaen;POZO ALCON;GUADALENTIN;Bóveda;1967;265.00 ;1;1;0;0;1;1;1;1;1;
LA BREÑA II;243;29.53;-12;-1.46;823;283;34.39;546;66.40;Guadalquivir;Cordoba;ALMODOVAR DEL RIO;GUADIATO;Gravedad;2009;1,974.90 ;0;1;1;0;1;0;1;1;1;
LA FERNANDINA;114;46.53;0;0.00;245;146;59.59;181;74.16;Guadalquivir;Jaen;VILCHES;GUARRIZAS;Gravedad;1991;1,230.00 ;1;1;1;0;1;1;1;0;0;
LA FRESNEDA;11;84.62;0;0.00;13;13;100.00;10;79.23;Guadalquivir;Ciudad Real;VISO DEL MARQUES;FRESNEDA;Arco Gravedad;1987;242.39 ;1;1;0;0;1;0;0;0;0;
LA MINILLA;46;79.31;-1;-1.72;58;51;87.93;45;78.45;Guadalquivir;Sevilla;GARROBO, EL;RIVERA DE HUELVA;Gravedad;1956;373.00 ;1;0;1;0;1;1;1;0;0;
LOS BERMEJALES;68;66.02;-1;-0.97;103;54;52.43;79;76.80;Guadalquivir;Granada;ARENAS DEL REY;CACIN;Gravedad;1958;562.00 ;1;1;1;0;1;0;1;1;1;
LOS MELONARES;169;90.86;-3;-1.61;186;186;100.00;153;82.42;Guadalquivir;Sevilla;CASTILBLANCO DE LOS ARROYOS, EL PEDROSO;VIAR;Gravedad;2009;1,460.00 ;1;1;0;0;0;0;1;0;0;
MARTIN GONZALO;13;72.22;0;0.00;18;16;88.89;14;82.78;Guadalquivir;Cordoba;MONTORO;MARTIN;Materiales sueltos P asfáltica;1989;282.00 ;1;0;0;0;1;0;0;0;0;
MONTORO;89;84.76;-1;-0.95;105;105;100.00;90;85.90;Guadalquivir;Ciudad Real;SOLANA DEL PINO, MESTANZA;MONTORO;Gravedad;2008;55.03 ;1;1;0;1;1;0;0;0;0;
NEGRATIN;276;48.68;0;0.00;567;257;45.33;382;67.43;Guadalquivir;Granada;FREILA;GUADIANA MENOR;Gravedad y materiales sueltos P asfáltica;1984;2,170.00 ;0;1;1;0;1;1;0;1;0;
PUEBLA DE CAZALLA;38;51.35;0;0.00;74;51;68.92;45;61.76;Guadalquivir;Sevilla;PUEBLA DE CAZALLA, LA;CORBONES;Gravedad;1994;332.00 ;0;1;1;0;1;1;0;1;0;
