Embalse;Agua embalsada (01-04-2019) (HM3);Porcentaje Agua embalsada (01-04-2019) ;Variacion semana Anterior (HM3);Porcentaje Variacion semana Anterior ;Capacidad (HM3);Agua embalsada Misma Semana (2018) (HM3);Porcentaje Agua embalsada Misma Semana (2018) ;Agua embalsada Misma Semana (Med. 10 Años) (HM3);Porcentaje Agua embalsada Misma Semana (Med. 10 Años) ;Cuenca;Provincia;Municipio Presa;Rio;Tipo de Presa;Año de construccion (Final);Superficie;Abastecimiento;Riego;Electricidad;Industrial;Pesca;Navegación;Baño;Pic-nic;Restaurantes
TERRADETS;32;96,97;0;0;33;31;93,94;22;68,18;Ebro;Lleida;LLIMIANA;NOGUERA PALLARESA;Gravedad;1935;330;0;0;1;0;1;1;0;0;0
TREMP O TALARN;99;43,61;1;0,44;227;126;55,51;96;42,69;Ebro;Lleida;TALARN;NOGUERA PALLARESA;Gravedad;1916;927;1;1;1;0;1;1;1;1;0
ULLIVARRI;119;81,51;0;0;146;132;90,41;127;87,53;Ebro;Alava;ARRAZUA-UBARRUNDIA;ZADORRA;Contrafuertes;1957;1.490,00;1;1;1;0;1;1;1;1;1
URDALUR;3;50;0;0;6;5;83,33;4;73,33;Ebro;Navarra;CIORDIA;ALZANIA;Hormigón Compactado;1994;30;1;0;0;0;1;0;0;0;0
URDICETO;2;40;0;0;5;2;40;2;40;Ebro;Huesca;BIELSA;BARRANNCO DE URDICETO;Materiales sueltos P hormigón;1930;32;0;0;0;0;0;0;0;0;0
URRUNAGA;56;77,78;0;0;72;48;66,67;52;73,06;Ebro;Alava;LEGUTIANO/VILLA REAL;SANTA ENGRACIA;Contrafuertes;1957;785;1;0;1;0;1;0;0;1;0
VADIELLO;11;68,75;-1;-6,25;16;14;87,5;13;84,38;Ebro;Huesca;LOPORZANO, SANTA EULALIA;GUATIZALEMA;Gravedad;1971;69;1;1;1;0;0;0;0;0;0
YESA;250;55,93;-15;-3,36;447;381;85,23;365;81,83;Ebro;Navarra;YESA;ARAGON;Gravedad;1959;2.089,00;1;1;1;1;1;1;1;1;0
AGUEDA;5;22,73;0;0;22;18;81,82;16;75,45;Duero;Salamanca;ZAMARRA Y PASTORES;AGUEDA;Gravedad;1931;177;0;1;1;0;1;0;0;0;0
AGUILAR DE CAMPOO;159;64,37;0;0;247;131;53,04;168;68,34;Duero;Palencia;AGUILAR DE CAMPOO;PISUERGA;Gravedad;1963;1.646,00;1;1;1;0;1;0;1;1;1
ALDEADAVILA;101;88,6;-6;-5,26;114;107;93,86;109;95,7;Duero;Salamanca;ALDEADAVILA DE LA RIBERA;DUERO;Arco Gravedad;1963;364;0;0;1;0;0;1;0;0;0
ALMENDRA;1100;41,53;1;0,04;2649;1381;52,13;1958;73,93;Duero;Salamanca;ALMENDRA Y CIBANAL;TORMES;Bóveda;1970;8.650,00;1;0;1;0;1;0;1;0;1
ARLANZON;18;81,82;0;0;22;20;90,91;21;95,91;Duero;Burgos;VILLASUR DE HERREROS/VILLOROBE;ARLANZON;Gravedad;1933;130;1;1;1;1;0;0;0;0;0
BARRIOS DE LUNA;284;92,21;0;0;308;239;77,6;248;80,71;Duero;Leon;BARRIOS DE LUNA, LOS;ORBIGO - LUNA (LUNA);Gravedad;1956;1.122,00;1;1;1;0;1;1;1;1;1
BURGOMILLODO;11;78,57;0;0;14;12;85,71;10;75,71;Duero;Segovia;CARRASCAL DEL RIO;DURATON;Gravedad;1928;132;0;0;1;0;1;1;0;0;0
CAMPORREDONDO;62;88,57;0;0;70;47;67,14;57;82;Duero;Palencia;VELILLA DEL RIO CARRION;CARRION;Gravedad;1930;388;0;1;1;0;1;0;0;0;0
CASARES DE ARBAS;32;86,49;1;2,7;37;26;70,27;24;65,68;Duero;Leon;VILLAMANIN;CASARES;Arco Gravedad;1984;280;1;1;1;1;0;0;0;0;0
CASTRO;24;88,89;0;0;27;25;92,59;24;91,85;Duero;Zamora;FONFRIA/ALCAÑICES;DUERO;Gravedad;1952;180;0;0;1;0;0;0;0;0;0
CASTRO DE LAS COGOTAS;26;44,07;-1;-1,69;59;52;88,14;45;77,12;Duero;Avila;MINGORRIA;ADAJA;Bóveda;1994;394;1;1;1;0;1;0;0;1;0
CERNADILLA;146;57,25;2;0,78;255;131;51,37;174;68,24;Duero;Zamora;CERNADILLA- MANZANAL DE ARRIBA;TERA;Gravedad;1969;1.394,00;0;0;1;0;1;1;1;0;0
CERVERA;6;60;0;0;10;6;60;5;55;Duero;Palencia;CERVERA DE PISUERGA;RIBERA;Gravedad;1923;106;0;1;0;0;0;0;1;1;0
COMPUERTO;85;89,47;-1;-1,05;95;74;77,89;78;82,32;Duero;Palencia;VELILLA DEL RIO CARRION;CARRION;Gravedad;1960;376;1;1;1;0;1;0;0;0;0
